,Date_of_PreShoot,Session_Fee,Hair,DOB,zip_code,Sales_total,Favorite,Age_at_Shoot_Date,Age_Range
285,2016-09-09,179,no,1976-10-22,32034,400,no preference,39,36-40
286,2016-07-17,179,yes,1991-03-30,32225,2520,no preference,25,18-25
287,2015-08-30,99,yes,1988-03-22,32164,750,"butt, curves",27,26-30
289,2015-10-01,99,no,1984-11-17,32218,80,hair,30,26-30
290,2013-10-22,99,yes,1989-01-18,32257,0,no preference,24,18-25
291,2015-02-19,99,no,1977-07-06,32223,320,"butt, eyes",37,36-40
292,2014-09-27,99,yes,1973-07-27,32207,1320,legs,41,41-45
294,2013-12-04,99,no,1982-06-30,32233,580,butt,31,31-35
296,2015-08-28,179,no,1965-03-29,32207,1250,"legs, feet",50,46-50
297,2016-04-21,179,yes,1977-09-05,32225,1200,boobs,38,36-40
298,2014-12-14,99,no,1968-08-24,32258,1550,no preference,46,46-50
299,2015-10-01,99,yes,1988-07-24,32063,1320,butt,27,26-30
301,2014-05-29,99,no,1979-09-21,32244,600,no preference,34,31-35
303,2015-04-04,99,no,1970-10-11,32218,160,no preference,44,41-45
304,2014-02-08,99,no,1983-10-16,32277,1499,butt,30,26-30
305,2014-11-19,99,no,1981-01-15,32068,600,boobs,33,31-35
306,2014-04-30,99,no,1982-04-05,32233,600,butt,32,31-35
307,2014-01-28,99,no,1985-09-10,32207,510,no preference,28,26-30
308,2015-09-24,99,no,1949-08-16,32073,240,"boobs, legs",66,66-72
309,2014-06-13,99,no,1989-07-27,32256,600,legs,24,18-25
311,2014-01-27,99,no,1979-05-24,32226,0,no preference,34,31-35
312,2017-12-03,99,no,1965-07-30,32225,720,boobs,52,51-55
313,2016-11-17,99,no,1977-01-16,32092,0,no preference,39,36-40
314,2016-04-21,99,yes,1965-04-22,32011,1320,boobs,51,51-55
316,2016-10-22,99,yes,1980-12-06,31546,680,no preference,35,31-35
317,2015-03-14,99,no,1989-11-20,32225,1200,no preference,25,18-25
318,2015-01-16,99,no,1958-11-26,32656,160,no preference,56,56-60
321,2015-01-06,179,no,1986-11-29,32258,1200,butt,28,26-30
322,2018-01-06,179,no,1979-11-12,32210,600,butt,38,36-40
323,2017-01-23,99,yes,1973-01-22,32226,600,eyes,44,41-45
324,2017-12-18,179,no,1998-04-02,32208,1347,legs,19,18-25
327,2018-07-15,99,no,1955-06-20,32040,1200,no preference,63,61-65
328,2018-04-28,99,no,1956-10-15,32225,80,butt,61,61-65
329,2018-04-28,99,no,1989-10-23,32225,600,butt,28,26-30
330,2018-07-31,99,no,1977-10-11,32217,1320,"butt, eyes, hair",40,36-40
332,2018-08-31,25,no,1982-07-30,32266,880,"butt, back",36,36-40
333,2018-09-04,25,no,1975-08-18,32073,600,no preference,43,41-45
334,2018-09-08,179,yes,1981-12-17,32135,1200,butt,36,36-40
336,2018-08-12,25,yes,1993-03-13,32098,600,butt,25,18-25
337,2018-08-13,25,yes,1966-02-25,32244,750,"boobs, legs",52,51-55
340,2018-09-15,25,no,1978-02-15,32246,160,butt,40,36-40
341,2018-10-14,25,no,1972-06-09,32222,950,eyes,46,46-50
342,2018-10-14,25,no,1975-07-06,32224,1320,no preference,43,41-45
344,2018-11-14,25,no,1990-08-24,32223,1670,"butt, legs, neck",28,26-30
347,2018-11-03,25,no,1993-01-17,32258,600,"butt, hair, legs",25,18-25
348,2018-11-03,179,no,1980-09-19,32065,1280,no preference,38,36-40
353,2018-12-20,25,yes,1989-06-27,32256,80,"chest, eyes, neck",29,26-30
354,2018-12-16,25,no,1984-10-08,32216,160,no preference,34,31-35
355,2018-12-29,25,yes,1992-12-04,32209,600,boobs,26,26-30
356,2019-01-24,25,no,1987-11-02,32145,600,no preference,31,31-35
358,2019-01-18,25,no,1981-08-18,32218,1200,boobs,37,36-40
360,2019-01-11,25,no,1977-07-01,32073,0,no preference,41,41-45
361,2019-01-13,25,no,1992-03-02,32218,160,butt,26,26-30
362,2018-12-29,25,no,1994-10-25,32097,600,butt,24,18-25
363,2019-02-16,25,no,1987-11-17,32043,240,no preference,31,31-35
364,2019-02-12,25,no,1959-02-09,32226,1320,"boobs, butt, eyes, smile",60,56-60
365,2019-02-17,25,no,1997-05-28,32250,750,no preference,21,18-25
366,2019-02-23,25,no,1987-12-27,32244,600,"cheek_bones, eyes, lips",31,31-35
369,2019-04-05,25,no,1953-08-28,32533,600,no preference,65,61-65
370,2019-08-04,179,no,1947-01-21,32223,600,no preference,72,66-72
371,2019-04-16,25,no,1986-04-13,32208,680,no preference,33,31-35
372,2019-06-27,25,no,1979-03-23,32208,240,no preference,40,36-40
373,2019-05-11,25,no,1991-07-26,30354,600,"legs, shoulder, smile",27,26-30
374,2019-09-07,25,no,1983-06-27,32218,950,"back, tattoo",36,36-40
375,2019-09-12,25,no,1967-05-10,32277,600,"butt, decoletage, legs",52,51-55
376,2019-07-14,25,no,1999-08-31,32068,240,no preference,19,18-25
377,2019-08-22,25,no,1961-06-19,32205,600,no preference,58,56-60
378,2019-08-18,99,no,1987-04-02,32258,1320,no preference,32,31-35
379,2019-12-10,25,no,1995-10-06,32164,600,butt,24,18-25
382,2019-11-27,25,no,1982-12-27,32206,600,no preference,36,36-40
385,2020-11-13,25,no,1988-08-27,32250,750,no preference,32,31-35
388,2019-11-01,179,no,1968-03-18,32068,680,no preference,51,51-55
389,2019-10-19,25,no,1984-01-20,32073,600,"boobs, smile",35,31-35
390,2019-09-25,25,no,1978-07-26,32073,600,butt,41,41-45
391,2019-09-24,25,no,1959-11-03,32097,1320,boobs,59,56-60
392,2019-09-12,25,no,1968-10-15,32219,0,no preference,50,46-50
393,2020-01-15,25,no,2000-01-20,32086,0,no preference,20,18-25
394,2020-01-06,25,no,1997-10-01,32046,1320,boobs,22,18-25
395,2020-01-02,179,no,1994-03-07,32137,320,no preference,25,18-25
398,2019-12-21,25,no,1986-02-06,32097,750,boobs,33,31-35
399,2019-12-21,25,no,1987-09-17,32226,160,boobs,32,31-35
400,2019-11-24,25,yes,1985-11-14,32218,840,butt,34,31-35
402,2020-01-25,25,no,1989-01-15,32257,850,boobs,31,31-35
403,2020-01-20,25,no,1992-06-09,32258,600,butt,27,26-30
404,2020-01-20,25,no,1974-09-22,32220,680,no preference,45,41-45
405,2020-01-31,179,yes,1960-04-24,31522,1320,boobs,59,56-60
406,2020-01-06,179,yes,1976-05-11,32083,720,no preference,43,41-45
407,2020-01-31,25,no,1975-06-20,32258,1320,butt,44,41-45
410,2020-02-05,25,no,1999-02-10,31525,240,no preference,21,18-25
411,2020-02-04,25,yes,1980-06-19,31558,600,no preference,39,36-40
412,2020-02-11,25,no,1999-04-09,32218,720,"freckles, smile",20,18-25
413,2020-02-11,25,no,1988-11-28,32097,0,butt,31,31-35
414,2020-02-08,25,no,1984-10-24,32246,160,no preference,35,31-35
419,2020-03-10,25,no,1987-03-28,32254,720,thighs,32,31-35
421,2018-02-15,99,no,1989-07-10,32244,600,"boobs, legs",28,26-30
422,2018-03-04,179,no,1992-08-05,32258,750,no preference,25,18-25
423,2018-04-08,99,no,1994-06-26,32244,1200,"butt, legs",23,18-25
